Original File name/description,File name,,Used images (as of 2/26),Unused images (as of 2/26)
0117-1800-1820 modern reproduction.jpg,0117_image.jpg,,0184_image.jpg,0477_image.jpg
0118-1800-1820 Women hairstyles.jpg,0118_image.jpg,,0185_image.jpg,0479_image.jpg
0119-1800-1820 Womens outdoor wear.jpg,0119_image.jpg,,0186_image.jpg,0486_image.jpg
"0120-1800-1830 Corset, early 1800s.jpg",0120_image.jpg,,0189_image.jpg,0489_image.jpg
0121-1800-on men shirt 2.jpg,0121_image.jpg,,0190_image.jpg,0490_image.jpg
0122-1800-on A very poor barefoot boy-Colorized.jpg,0122_image.jpg,,0191_image.jpg,0491_image.jpg
"0123-1800-on men shirt, dropped shoulder seam.jpg",0123_image.jpg,,0193_image.jpg,0495_image.jpg
0124-1800-on broadfall trousers with strapped under variation.jpg,0124_image.jpg,,0194_image.jpg,0498_image.jpg
"0125-1800-on Broadfall trousers, inside back sewing diagram.jpg",0125_image.jpg,,0195_image.jpg,0499_image.jpg
"0126-1800-on, Pantalets002.jpg",0126_image.jpg,,0196_image.jpg,0506_image.jpg
"0127-1800s all Toddler's shoes of soft kidskin, p104d.jpg",0127_image.jpg,,0197_image.jpg,0507_image.jpg
"0128-1800s all, farrier with horses.jpg",0128_image.jpg,,0198_image.jpg,0508_image.jpg
"0129-1800s all, flat Handbag in flat needle point 'Berlin work' on canvas, DUP, photo by Carma.jpg",0129_image.jpg,,0199_image.jpg,0530_image.jpg
0130-1800s All. men's linen nightshirt.jpg,0130_image.jpg,,0199_image.jpg,0536_image.jpg
0131-1800s All. men's yoked nightshirt and nightcap.jpg,0131_image.jpg,,0201_image.jpg,0538_image.jpg
"0132-1800s Baby's christening bonnet, bobin or pillow lace, Ulster Museum mid 19th cent.jpg",0132_image.jpg,,0202_image.jpg,0539_image.jpg
"0133-1800s mid, Dress for a small child, wool with cotton lining CIU.jpg",0133_image.jpg,,0203_image.jpg,0546_image.jpg
0134-1800s most. woman's well-made nightgown sewn on a machine.jpg,0134_image.jpg,,0204_image.jpg,0550_image.jpg
0135-1800s shirt and smock compared.jpg,0135_image.jpg,,0205_image.jpg,0551_image.jpg
0136-1800s underclothes for woman B.jpg,0136_image.jpg,,0205_image.jpg,0552_image.jpg
"0137-1800s- mid Cameo Studs for a man's shirt, with plain stud.jpg",0137_image.jpg,,0206_image.jpg,0553_image.jpg
0138-1800s-Mid. Long frock coat Steve.jpg,0138_image.jpg,,0207_image.jpg,0554_image.jpg
0139-1803 Family playing checkers by Louis-Leopold Boilly. Wikipedia.jpg,0139_image.jpg,,0208_image.jpg,0555_image.jpg
0140-1803 Well to do Paris family 1803 by Passer-Payez Boilly-Wikipedia1810.jpg,0140_image.jpg,,0214_image.jpg,0556_image.jpg
"0141-1806 Jacques-Luc Barbier-Walbonne, Portrait of Antoine-Georges-Francois de Chabaud-Latour and his Family, 1806. RISD Providence, .jpg",0141_image.jpg,,0215_image.jpg,0557_image.jpg
0142-1810-1819 Fashion plate of one man and two women. The fashion Institute at the MET.jpg,0142_image.jpg,,0216_image.jpg,0558_image.jpg
"0143-1810-1820 Elaborate ballgowns in McCord Museum, side and back.jpg",0143_image.jpg,,0218_image.jpg,0566_image.jpg
